CC;CC_Label
VPI;IRON POWDER
2Y1;PAINTING(EXCEPT)
KEB;SURFACERS PER UNIT
KE0;PAINT ADDITIVES
2U1;PETRIFACTION AND OTHERS
KE7;PAINT PRODUCTS FOR REPAIR
KEF;PRE-TREATM
2K1;ADHESIVE & SEALING
KE2;TOP COAT (WATER BASE)
2W1;REPAIR PAINT
ZZZ;OTHERS
KEG;E-COAT PER UNIT
KED;CLEAR COAT PER UNIT
KE6;BLACK PAINTS FOR STYLE
KE5;CUSTOMIZED PAINTS
KEA;CLEAR COAT
KEE;E-COAT
2Z1;PAINTING(LSS)
KE3;TOP COAT (SOLVANT BASE)
KE4;COST PER UNIT
KEH;PRE TREATMENT PER UNIT
KE8;PROTECTIVE PAINTS
KE1;PRIMER
KEC;FINISHING PER UNIT
KE9;SOLVENT
3J1;OTHER EV METERIAL
K82;FUEL
1G1;BREAK FLUID
1F1;LONG LIFE COOLANT
2M1;AIR COOLING GAS
K81;CHARBON
K80;FUEL
K79;GAZ OIL
2S1;POWER STEERING FLUID + GREASE FIRST FILL
K83;PRODUITS PETROLIERS INDUSTRIELS
K97;FUEL FOR COMPANY CAR
2X2;EV SPECIFIC POLYMERS SEMI-PRODUCTS
1J1;PGM
K99;GAS FIRST FILL (PROPANE GAS FLUID)
K73;AUTOMATIC TRANSMISSION FLUID
K78;ADDITIFS CARBURANTS
1H1;ETC
K71;GASOLINE + DIESEL + MIXED ENGINES OILS FIRST FILL
K98;FUEL FOR TECHNICAL TESTS
2R1;GASOLINE + DIESEL FIRST FILL + ADDITIVES FOR FUEL
KEN;WINDOW WASH LIQUIDS
K72;MANUAL TRANSMISSION FLUID + WASHING GEARBOX FLUID
KES;PRE-FORMED MASTICS
KEO;PROTECTIVE WAX AND VARIOUS
KEI;AUTOMOTIVE MASTIC AND ADHESIVE
KEQ;INFLATING INSERTS
KEK;MASTICS - PAYMENT ON VEHICLE
KEP;STRUCTURE INSERT
KEJ;INFLATING INSERTS
KER;MASTICS PAYMENT ON VEHICULE
KEM;BASE OILS AND VARIOUS PRODUCTS
K0F;NON TRANSVERSE SA 23
KEL;PRE-FORMED MASTICS
K0G;SOUND ABSORBERS (IFF)
KET;AMORTISSAN
KEV;PAINTS FOR PLASTIC PARTS
KEU;FINISH FOR PLASTIC PARTS
KEW;PLASTICS FINISHING
G0Y;DRIVE SHAFT ASSY
GB4;PROP SHAFT ASSY (CVJ)
G1Y;DRIVE SHAFT PARTS
MJZ;STAMPING FOR AXLES AND SUBFRAME
KPX;KIT BUTEE
GB1;BRAKE DISC-FRONT
YAC;AXLE OTHER
G0G;AXLE BRG OTHER
FVY;PULLEY SPR SEAT
APM;POWERTRAIN MACHINING
GB2;BRAKE DISC-REAR
5B2;OUTSIDE ORDER PAINTING
IDQ;SHEET METAL PARTS
G1E;AXLE BRG GEN3
IDI;STEEL TUBES AND TORSION BARS
FV2;E-POWERTRAIN BEARINGS
YAP;KNUCK & SPDL
MJ3;SUSP MBR/LINK
T06;SUSP MBR LINK
T55;CHASSIS
YAA;AXLE
IDG;ROTULE DE BRAS
IDJ;AXLE MATERIAL SURFACE TREATMENT
GB3;BRAKE DRUM-REA
IDH;CASTING FOR AXLES LINKS
G0F;AXLE BRG
QE1;EXH
QE2;OTHER EXH
K0J;CATALYTIC CONVERTER
KD2;VARIOUS EXHAUSTS
KQ0;CATALYZERS
TEX;EXH MTG
KPZ;TUBES
THC;EXH PKB
QE3;CLUTCH-M/CYL
QT4;CLUTCH TUBE
KD0;HEAT SHIELD
DC4;ND ENG. FD
KD4;EXHAUST SUSPENSION
KPY;REAR MUFFLERS
KD1;EXHAUST UNCOUPLING (MONOLITH)
XEC;HOOD STRIKER
ICI;CATALYTIC CONVERTER OF GASOLINE P&A
KD6;TUBES ECHAPPEMENT INOX
TS1;THERMAL SCREENS
T22;PEDAL
XSA;OTHER
YAF;CATCHER GREASE
KDC;CLUTCH PEDAL
FVA;CLUTCH YOKE&ROTOR
YBE;PEDAL OTHER
YBD;PEDAL BRKT
YAN;RR AXLE TUBE & SFT
T24;JACK & TOOL
KDA;PARKING BRAKE
KD9;PARKING BRAKE CABLES
XQB;OTHER PKB DVC
